DATE,DSWR,FRBD,GZBD,GALI
01,XX,27,54,57
02,42,11,56,23
03,73,32,27,21
04,36,77,36,01
05,88,74,56,14
06,65,56,71,91
07,15,69,38,30
08,04,29,14,08
09,85,33,24,04
10,38,40,41,07
11,51,45,88,27
12,91,22,52,80
13,08,33,68,41
14,29,03,11,28
15,24,99,94,15
16,98,57,87,84
17,55,56,99,78
18,38,52,86,09
19,67,54,71,90
20,25,42,90,39
21,84,77,96,95
22,63,92,15,96
23,25,77,20,96
24,55,20,64,37
25,18,21,23,13
26,14,80,73,80
27,21,24,20,11
28,67,59,29,57
29,96,10,86,81
30,71,06,40,17
31,96,XX,XX,XX
